text,label,source
I love this product,positive,amazon
Worst service ever,negative,yelp
It is okay not great,neutral,manual
Absolutely fantastic experience,positive,amazon
I am very disappointed,negative,manual
Nothing special about it,neutral,manual
Highly recommend this item,positive,amazon
The quality is terrible,negative,amazon
It works as expected,neutral,manual
Exceeded my expectations,positive,amazon
Very bad customer support,negative,yelp
Average performance overall,neutral,manual
I am extremely happy with this,positive,amazon
This was a complete waste of money,negative,amazon
Neither good nor bad,neutral,manual
Five stars will buy again,positive,amazon
I regret buying this,negative,amazon
It does the job,neutral,manual
Superb quality and design,positive,amazon
Broke after one use,negative,amazon
It is fine for the price,neutral,manual
Amazing value for money,positive,amazon
The experience was awful,negative,yelp
Nothing impressed me,neutral,manual
I am very satisfied,positive,amazon
Customer service was rude,negative,yelp
It is acceptable,neutral,manual
Perfect in every way,positive,amazon
The product stopped working,negative,amazon
Not too bad not too good,neutral,manual
